"species","climate","landscape","habitat"
"Milvus milvus","bio17","",""
"Milvus milvus","bio18","",""
"Milvus milvus","bio19","",""
"Milvus milvus","","grassland","grassland"
"Milvus milvus","","winter_cereals","winter_cereals"
"Milvus milvus","","summer_cereals","summer_cereals"
"Milvus milvus","","maize","maize"
"Milvus milvus","","root_crops","root_crops"
"Milvus milvus","","rapeseed","rapeseed"
"Milvus milvus","","sunflower","sunflower"
"Milvus milvus","","vegetables","vegetables"
"Milvus milvus","","legumes","legumes"
"Milvus milvus","","",""
"Milvus milvus","","fallow","fallow"
"Milvus milvus","","grapevine","grapevine"
"Milvus milvus","","hops","hops"
"Milvus milvus","","orchards_and_berries","orchards_and_berries"
"Milvus milvus","","built_up","built_up"
"Milvus milvus","","trees","trees"
"Milvus milvus","","water","water"
"Milvus milvus","","elevation","elevation"
"Milvus milvus","","slope","slope"
"Milvus milvus","","solar_radiation","solar_radiation"
"Lanius collurio","bio1","",""
"Lanius collurio","bio2","",""
"Lanius collurio","bio3","",""
"Lanius collurio","bio4","",""
"Lanius collurio","bio5","",""
"Lanius collurio","bio6","",""
"Lanius collurio","bio7","",""
"Lanius collurio","bio8","",""
"Lanius collurio","bio9","",""
"Lanius collurio","bio10","",""
"Lanius collurio","bio11","",""
"Lanius collurio","bio12","",""
"Lanius collurio","bio13","",""
"Lanius collurio","bio14","",""
"Lanius collurio","bio15","",""
"Lanius collurio","bio16","",""
"Lanius collurio","bio17","",""
"Lanius collurio","bio18","",""
"Lanius collurio","bio19","",""
"Lanius collurio","","grassland","grassland"
"Lanius collurio","","winter_cereals","winter_cereals"
"Lanius collurio","","summer_cereals","summer_cereals"
"Lanius collurio","","maize","maize"
"Lanius collurio","","root_crops","root_crops"
"Lanius collurio","","rapeseed","rapeseed"
"Lanius collurio","","sunflower","sunflower"
"Lanius collurio","","vegetables","vegetables"
"Lanius collurio","","legumes","legumes"
"Lanius collurio","","hedges","hedges"
"Lanius collurio","","fallow","fallow"
"Lanius collurio","","grapevine","grapevine"
"Lanius collurio","","hops","hops"
"Lanius collurio","","orchards_and_berries","orchards_and_berries"
"Lanius collurio","","built_up","built_up"
"Lanius collurio","","trees","trees"
"Lanius collurio","","water","water"
"Lanius collurio","","elevation","elevation"
"Lanius collurio","","slope","slope"
"Lanius collurio","","solar_radiation","solar_radiation"
"Lullula arborea","bio1","",""
"Lullula arborea","bio2","",""
"Lullula arborea","bio3","",""
"Lullula arborea","bio4","",""
"Lullula arborea","bio5","",""
"Lullula arborea","bio6","",""
"Lullula arborea","bio7","",""
"Lullula arborea","bio8","",""
"Lullula arborea","bio9","",""
"Lullula arborea","bio10","",""
"Lullula arborea","bio11","",""
"Lullula arborea","bio12","",""
"Lullula arborea","bio13","",""
"Lullula arborea","bio14","",""
"Lullula arborea","bio15","",""
"Lullula arborea","bio16","",""
"Lullula arborea","bio17","",""
"Lullula arborea","bio18","",""
"Lullula arborea","bio19","",""
"Lullula arborea","","grassland","grassland"
"Lullula arborea","","winter_cereals","winter_cereals"
"Lullula arborea","","summer_cereals","summer_cereals"
"Lullula arborea","","maize","maize"
"Lullula arborea","","root_crops","root_crops"
"Lullula arborea","","rapeseed","rapeseed"
"Lullula arborea","","sunflower","sunflower"
"Lullula arborea","","vegetables","vegetables"
"Lullula arborea","","legumes","legumes"
"Lullula arborea","","",""
"Lullula arborea","","fallow","fallow"
"Lullula arborea","","grapevine","grapevine"
"Lullula arborea","","hops","hops"
"Lullula arborea","","orchards_and_berries","orchards_and_berries"
"Lullula arborea","","built_up","built_up"
"Lullula arborea","","trees","trees"
"Lullula arborea","","water","water"
"Lullula arborea","","elevation","elevation"
"Lullula arborea","","slope","slope"
"Lullula arborea","","solar_radiation","solar_radiation"
"Alauda arvensis","bio1","",""
"Alauda arvensis","bio2","",""
"Alauda arvensis","bio3","",""
"Alauda arvensis","bio4","",""
"Alauda arvensis","bio5","",""
"Alauda arvensis","bio6","",""
"Alauda arvensis","bio7","",""
"Alauda arvensis","bio8","",""
"Alauda arvensis","bio9","",""
"Alauda arvensis","bio10","",""
"Alauda arvensis","bio11","",""
"Alauda arvensis","bio12","",""
"Alauda arvensis","bio13","",""
"Alauda arvensis","bio14","",""
"Alauda arvensis","bio15","",""
"Alauda arvensis","bio16","",""
"Alauda arvensis","bio17","",""
"Alauda arvensis","bio18","",""
"Alauda arvensis","bio19","",""
"Alauda arvensis","","grassland","grassland"
"Alauda arvensis","","winter_cereals","winter_cereals"
"Alauda arvensis","","summer_cereals","summer_cereals"
"Alauda arvensis","","maize","maize"
"Alauda arvensis","","root_crops","root_crops"
"Alauda arvensis","","rapeseed","rapeseed"
"Alauda arvensis","","sunflower","sunflower"
"Alauda arvensis","","vegetables","vegetables"
"Alauda arvensis","","legumes","legumes"
"Alauda arvensis","","",""
"Alauda arvensis","","fallow","fallow"
"Alauda arvensis","","grapevine","grapevine"
"Alauda arvensis","","hops","hops"
"Alauda arvensis","","orchards_and_berries","orchards_and_berries"
"Alauda arvensis","","built_up","built_up"
"Alauda arvensis","","trees","trees"
"Alauda arvensis","","water","water"
"Alauda arvensis","","elevation","elevation"
"Alauda arvensis","","slope","slope"
"Alauda arvensis","","solar_radiation","solar_radiation"
"Saxicola rubetra","bio1","",""
"Saxicola rubetra","bio2","",""
"Saxicola rubetra","bio3","",""
"Saxicola rubetra","bio4","",""
"Saxicola rubetra","bio5","",""
"Saxicola rubetra","bio6","",""
"Saxicola rubetra","bio7","",""
"Saxicola rubetra","bio8","",""
"Saxicola rubetra","bio9","",""
"Saxicola rubetra","bio10","",""
"Saxicola rubetra","bio11","",""
"Saxicola rubetra","bio12","",""
"Saxicola rubetra","bio13","",""
"Saxicola rubetra","bio14","",""
"Saxicola rubetra","bio15","",""
"Saxicola rubetra","bio16","",""
"Saxicola rubetra","bio17","",""
"Saxicola rubetra","bio18","",""
"Saxicola rubetra","bio19","",""
"Saxicola rubetra","","grassland","grassland"
"Saxicola rubetra","","winter_cereals","winter_cereals"
"Saxicola rubetra","","summer_cereals","summer_cereals"
"Saxicola rubetra","","maize","maize"
"Saxicola rubetra","","root_crops","root_crops"
"Saxicola rubetra","","rapeseed","rapeseed"
"Saxicola rubetra","","sunflower","sunflower"
"Saxicola rubetra","","vegetables","vegetables"
"Saxicola rubetra","","legumes","legumes"
"Saxicola rubetra","","",""
"Saxicola rubetra","","fallow","fallow"
"Saxicola rubetra","","grapevine","grapevine"
"Saxicola rubetra","","hops","hops"
"Saxicola rubetra","","orchards_and_berries","orchards_and_berries"
"Saxicola rubetra","","built_up","built_up"
"Saxicola rubetra","","trees","trees"
"Saxicola rubetra","","water","water"
"Saxicola rubetra","","elevation","elevation"
"Saxicola rubetra","","slope","slope"
"Saxicola rubetra","","solar_radiation","solar_radiation"
"Emberiza calandra","bio1","",""
"Emberiza calandra","bio2","",""
"Emberiza calandra","bio3","",""
"Emberiza calandra","bio4","",""
"Emberiza calandra","bio5","",""
"Emberiza calandra","bio6","",""
"Emberiza calandra","bio7","",""
"Emberiza calandra","bio8","",""
"Emberiza calandra","bio9","",""
"Emberiza calandra","bio10","",""
"Emberiza calandra","bio11","",""
"Emberiza calandra","bio12","",""
"Emberiza calandra","bio13","",""
"Emberiza calandra","bio14","",""
"Emberiza calandra","bio15","",""
"Emberiza calandra","bio16","",""
"Emberiza calandra","bio17","",""
"Emberiza calandra","bio18","",""
"Emberiza calandra","bio19","",""
"Emberiza calandra","","grassland","grassland"
"Emberiza calandra","","winter_cereals","winter_cereals"
"Emberiza calandra","","summer_cereals","summer_cereals"
"Emberiza calandra","","maize","maize"
"Emberiza calandra","","root_crops","root_crops"
"Emberiza calandra","","rapeseed","rapeseed"
"Emberiza calandra","","sunflower","sunflower"
"Emberiza calandra","","vegetables","vegetables"
"Emberiza calandra","","legumes","legumes"
"Emberiza calandra","","",""
"Emberiza calandra","","fallow","fallow"
"Emberiza calandra","","grapevine","grapevine"
"Emberiza calandra","","hops","hops"
"Emberiza calandra","","orchards_and_berries","orchards_and_berries"
"Emberiza calandra","","built_up","built_up"
"Emberiza calandra","","trees","trees"
"Emberiza calandra","","water","water"
"Emberiza calandra","","elevation","elevation"
"Emberiza calandra","","slope","slope"
"Emberiza calandra","","solar_radiation","solar_radiation"
"Emberiza citrinella","bio1","",""
"Emberiza citrinella","bio2","",""
"Emberiza citrinella","bio3","",""
"Emberiza citrinella","bio4","",""
"Emberiza citrinella","bio5","",""
"Emberiza citrinella","bio6","",""
"Emberiza citrinella","bio7","",""
"Emberiza citrinella","bio8","",""
"Emberiza citrinella","bio9","",""
"Emberiza citrinella","bio10","",""
"Emberiza citrinella","bio11","",""
"Emberiza citrinella","bio12","",""
"Emberiza citrinella","bio13","",""
"Emberiza citrinella","bio14","",""
"Emberiza citrinella","bio15","",""
"Emberiza citrinella","bio16","",""
"Emberiza citrinella","bio17","",""
"Emberiza citrinella","bio18","",""
"Emberiza citrinella","bio19","",""
"Emberiza citrinella","","grassland","grassland"
"Emberiza citrinella","","winter_cereals","winter_cereals"
"Emberiza citrinella","","summer_cereals","summer_cereals"
"Emberiza citrinella","","maize","maize"
"Emberiza citrinella","","root_crops","root_crops"
"Emberiza citrinella","","rapeseed","rapeseed"
"Emberiza citrinella","","sunflower","sunflower"
"Emberiza citrinella","","vegetables","vegetables"
"Emberiza citrinella","","legumes","legumes"
"Emberiza citrinella","","hedges","hedges"
"Emberiza citrinella","","fallow","fallow"
"Emberiza citrinella","","grapevine","grapevine"
"Emberiza citrinella","","hops","hops"
"Emberiza citrinella","","orchards_and_berries","orchards_and_berries"
"Emberiza citrinella","","built_up","built_up"
"Emberiza citrinella","","trees","trees"
"Emberiza citrinella","","water","water"
"Emberiza citrinella","","elevation","elevation"
"Emberiza citrinella","","slope","slope"
"Emberiza citrinella","","solar_radiation","solar_radiation"
"Buteo buteo","bio1","",""
"Buteo buteo","bio2","",""
"Buteo buteo","bio3","",""
"Buteo buteo","bio4","",""
"Buteo buteo","bio5","",""
"Buteo buteo","bio6","",""
"Buteo buteo","bio7","",""
"Buteo buteo","bio8","",""
"Buteo buteo","bio9","",""
"Buteo buteo","bio10","",""
"Buteo buteo","bio11","",""
"Buteo buteo","bio12","",""
"Buteo buteo","bio13","",""
"Buteo buteo","bio14","",""
"Buteo buteo","bio15","",""
"Buteo buteo","bio16","",""
"Buteo buteo","bio17","",""
"Buteo buteo","bio18","",""
"Buteo buteo","bio19","",""
"Buteo buteo","","grassland","grassland"
"Buteo buteo","","winter_cereals","winter_cereals"
"Buteo buteo","","summer_cereals","summer_cereals"
"Buteo buteo","","maize","maize"
"Buteo buteo","","root_crops","root_crops"
"Buteo buteo","","rapeseed","rapeseed"
"Buteo buteo","","sunflower","sunflower"
"Buteo buteo","","vegetables","vegetables"
"Buteo buteo","","legumes","legumes"
"Buteo buteo","","",""
"Buteo buteo","","fallow","fallow"
"Buteo buteo","","grapevine","grapevine"
"Buteo buteo","","hops","hops"
"Buteo buteo","","orchards_and_berries","orchards_and_berries"
"Buteo buteo","","built_up","built_up"
"Buteo buteo","","trees","trees"
"Buteo buteo","","water","water"
"Buteo buteo","","elevation","elevation"
"Buteo buteo","","slope","slope"
"Buteo buteo","","solar_radiation","solar_radiation"
"Sturnus vulgaris","bio1","",""
"Sturnus vulgaris","bio2","",""
"Sturnus vulgaris","bio3","",""
"Sturnus vulgaris","bio4","",""
"Sturnus vulgaris","bio5","",""
"Sturnus vulgaris","bio6","",""
"Sturnus vulgaris","bio7","",""
"Sturnus vulgaris","bio8","",""
"Sturnus vulgaris","bio9","",""
"Sturnus vulgaris","bio10","",""
"Sturnus vulgaris","bio11","",""
"Sturnus vulgaris","bio12","",""
"Sturnus vulgaris","bio13","",""
"Sturnus vulgaris","bio14","",""
"Sturnus vulgaris","bio15","",""
"Sturnus vulgaris","bio16","",""
"Sturnus vulgaris","bio17","",""
"Sturnus vulgaris","bio18","",""
"Sturnus vulgaris","bio19","",""
"Sturnus vulgaris","","grassland","grassland"
"Sturnus vulgaris","","winter_cereals","winter_cereals"
"Sturnus vulgaris","","summer_cereals","summer_cereals"
"Sturnus vulgaris","","maize","maize"
"Sturnus vulgaris","","root_crops","root_crops"
"Sturnus vulgaris","","rapeseed","rapeseed"
"Sturnus vulgaris","","sunflower","sunflower"
"Sturnus vulgaris","","vegetables","vegetables"
"Sturnus vulgaris","","legumes","legumes"
"Sturnus vulgaris","","",""
"Sturnus vulgaris","","fallow","fallow"
"Sturnus vulgaris","","grapevine","grapevine"
"Sturnus vulgaris","","hops","hops"
"Sturnus vulgaris","","orchards_and_berries","orchards_and_berries"
"Sturnus vulgaris","","built_up","built_up"
"Sturnus vulgaris","","trees","trees"
"Sturnus vulgaris","","water","water"
"Sturnus vulgaris","","elevation","elevation"
"Sturnus vulgaris","","slope","slope"
"Sturnus vulgaris","","solar_radiation","solar_radiation"
"Perdix perdix","bio1","",""
"Perdix perdix","bio2","",""
"Perdix perdix","bio3","",""
"Perdix perdix","bio4","",""
"Perdix perdix","bio5","",""
"Perdix perdix","bio6","",""
"Perdix perdix","bio7","",""
"Perdix perdix","bio8","",""
"Perdix perdix","bio9","",""
"Perdix perdix","bio10","",""
"Perdix perdix","bio11","",""
"Perdix perdix","bio12","",""
"Perdix perdix","bio13","",""
"Perdix perdix","bio14","",""
"Perdix perdix","bio15","",""
"Perdix perdix","bio16","",""
"Perdix perdix","bio17","",""
"Perdix perdix","bio18","",""
"Perdix perdix","bio19","",""
"Perdix perdix","","grassland","grassland"
"Perdix perdix","","winter_cereals","winter_cereals"
"Perdix perdix","","summer_cereals","summer_cereals"
"Perdix perdix","","maize","maize"
"Perdix perdix","","root_crops","root_crops"
"Perdix perdix","","rapeseed","rapeseed"
"Perdix perdix","","sunflower","sunflower"
"Perdix perdix","","vegetables","vegetables"
"Perdix perdix","","legumes","legumes"
"Perdix perdix","","",""
"Perdix perdix","","fallow","fallow"
"Perdix perdix","","grapevine","grapevine"
"Perdix perdix","","hops","hops"
"Perdix perdix","","orchards_and_berries","orchards_and_berries"
"Perdix perdix","","built_up","built_up"
"Perdix perdix","","trees","trees"
"Perdix perdix","","water","water"
"Perdix perdix","","elevation","elevation"
"Perdix perdix","","slope","slope"
"Perdix perdix","","solar_radiation","solar_radiation"
"Anthus pratensis","bio1","",""
"Anthus pratensis","bio2","",""
"Anthus pratensis","bio3","",""
"Anthus pratensis","bio4","",""
"Anthus pratensis","bio5","",""
"Anthus pratensis","bio6","",""
"Anthus pratensis","bio7","",""
"Anthus pratensis","bio8","",""
"Anthus pratensis","bio9","",""
"Anthus pratensis","bio10","",""
"Anthus pratensis","bio11","",""
"Anthus pratensis","bio12","",""
"Anthus pratensis","bio13","",""
"Anthus pratensis","bio14","",""
"Anthus pratensis","bio15","",""
"Anthus pratensis","bio16","",""
"Anthus pratensis","bio17","",""
"Anthus pratensis","bio18","",""
"Anthus pratensis","bio19","",""
"Anthus pratensis","","grassland","grassland"
"Anthus pratensis","","winter_cereals","winter_cereals"
"Anthus pratensis","","summer_cereals","summer_cereals"
"Anthus pratensis","","maize","maize"
"Anthus pratensis","","root_crops","root_crops"
"Anthus pratensis","","rapeseed","rapeseed"
"Anthus pratensis","","sunflower","sunflower"
"Anthus pratensis","","vegetables","vegetables"
"Anthus pratensis","","legumes","legumes"
"Anthus pratensis","","",""
"Anthus pratensis","","fallow","fallow"
"Anthus pratensis","","grapevine","grapevine"
"Anthus pratensis","","hops","hops"
"Anthus pratensis","","orchards_and_berries","orchards_and_berries"
"Anthus pratensis","","built_up","built_up"
"Anthus pratensis","","trees","trees"
"Anthus pratensis","","water","water"
"Anthus pratensis","","elevation","elevation"
"Anthus pratensis","","slope","slope"
"Anthus pratensis","","solar_radiation","solar_radiation"
